ID,Key,Name,Phone,URL,Street,City,State,Zip,Lat,Lng,Note,MonOpen,MonClose,TueOpen,TueClose,WedOpen,WedClose,ThuOpen,ThuClose,FriOpen,FriClose,SatOpen,SatClose,SunOpen,SunClose
11,NcOrangeFoodWasteDropOffChapelHillFarmersMarket,Food Waste Drop-Off Site Chapel Hill Famers Market,(919) 533-9496,https://www.thechapelhillfarmersmarket.com/,201 S. Estes Drive,Chapel Hill,NC,27514,35.92795,-79.02973,,-1,-1,15,18,-1,-1,-1,-1,-1,-1,8,12,-1,-1
12,NcOrangeFoodWasteDropOffEnoRiverFarmersMarket,Food Waste Drop-Off Site Eno River Farmers Market,(919) 968-2788,http://www.enoriverfarmersmarket.com/,144 E Margaret Ln,Hillsborough,NC,27278,36.07392,-79.09771,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,12,-1,-1
13,NcDurhamNewHopeCommonsWalmart,Walmart Supercenter New Hope Commons,(919) 489-4412,https://www.walmart.com/store/2137-durham-nc,5450 New Hope Commons Dr,Durham,NC,27707,35.95539,-78.99898,,6,23,6,23,6,23,6,23,6,23,6,23,6,23
14,NcChapelHillLowes,Lowes Chapel Hill,(919) 967-3289,https://www.lowes.com/,1801 Fordham Blvd,Chapel Hill,NC,27514,35.94856,-79.01131,,6,22,6,22,6,22,6,22,6,22,6,22,6,22
15,NcChapelHillStaples,Staples Chapel Hill,(919) 942-4115,https://www.staples.com/,1710 East Franklin Street,Chapel Hill,NC,27514,35.93535,-79.02734,,8,21,8,21,8,21,8,21,8,21,9,21,10,18
16,NcAlamanceHawRiver,"Stericycle, Inc.",(336) 380-7440,,1168 Porter Avenue,Haw River,NC,27258,36.0658156,-79.3490639,,,,,,,,,,,,,,,
17,NcAlamanceGraham,Austin Quarter,(336) 376-0411,,2701 Austin Quarter Road,Graham,NC,27253,35.9390401,-79.2934933,,,,,,,,,,,,,,,
18,NcAlamanceLiberty,Cobles C&D Landfill,(336) 264-4894,,5833 Foster Store Road,Liberty,NC,27298,35.948101,-79.527377,Alamance,,,,,,,,,,,,,,
19,NcAlamanceMebane,Carolina Resource Recovery LCID T&P Facility,(336) 214-7229,,3285 Jones Drive,Mebane,NC,27302,36.015983,-79.274392,Alamance,,,,,,,,,,,,,,
20,NcAlamanceBurlington,Key Properties LCID Landfill,(336) 380-2458,,2380 Sandy Cross Rd.,Burlington,NC,27217,36.1397196,-79.3576551,Alamance,,,,,,,,,,,,,,
21,NcAlexanderTaylorsville,Alexander County,(828) 632-1101,,2500 Paynes Dairy Road,Taylorsville,NC,28681,35.8386322,-81.1484436,Alexander,,,,,,,,,,,,,,
22,NcAlleghanySparta,Alleghany County Transfer Facility,(336) 372-4179,,419 Osborne Road,Sparta,NC,28675,36.492372,-81.1485469,Alleghany,,,,,,,,,,,,,,
23,NcAnsonPolkton,Chambers Development MSWLF,(704) 690-3240,,375 Dozer Dr,Polkton,NC,28135,34.9995594,-80.1689568,Anson,,,,,,,,,,,,,,
24,NcAnsonWadesboro,L & L Environmental Services LLC,(704) 294-0230,,2323 DIGGS RD.,Wadesboro,NC,28170,34.906488,-79.984595,Anson,,,,,,,,,,,,,,
25,NcAsheCumpler,Ashe County Landfill,(336) 846-3721,,739 Fred Pugh Road,Cumpler,NC,28617,36.518452,-81.368319,Ashe,,,,,,,,,,,,,,
26,NcAsheWestJefferson,Ashe County HHW Facility,(336) 846-3721,,311 Dogget RD,West Jefferson,NC,28694,36.4125135,-81.4893946,Ashe,,,,,,,,,,,,,,
27,NcAverySprucePine1,Avery County C&D Landfill,(828) 737-5420,,2175 Brushy Creek Rd.,Spruce Pine,NC,28777,35.9505751,-82.000799,Avery,,,,,,,,,,,,,,
28,NcAverySprucePine2,Avery County Transfer Station,(828) 737-5420,,2175 Brushy Creek Rd,Spruce Pine,NC,28777,35.9505751,-82.000799,Avery,,,,,,,,,,,,,,
29,NcBeaufortWashington,Beaufort Transfer Station,(252) 644-3207,,500 Flander Filter Road,Washington,NC,27889,35.5937962,-77.1129645,Beaufort,,,,,,,,,,,,,,
30,NcBertieAulander,East Carolina Environmental Regional Landfill,(252) 584-0026,,1922 Republican Road,Aulander,NC,27805,36.115539,-77.064747,Bertie,,,,,,,,,,,,,,
31,NcBladenElizabethtown,Bladen County Transfer Station,(910) 872-6320,,1522 Mercer Mill Road,Elizabethtown,NC,28337,34.6071469,-78.6030242,Bladen,,,,,,,,,,,,,,
32,NcYanceyBurnsville,Yancey-Mitchell Transfer Station,(828) 675-4043,,555 LANDFILL ROAD,Burnsville,NC,28714,35.9304099,-82.1786035,Yancey,,,,,,,,,,,,,,
33,NcBrunswickBolivia,Brunswick County,(910) 253-2524,,172 Landfill Rd NE,Bolivia,NC,28422,34.8601796,-77.9681478,Brunswick,,,,,,,,,,,,,,
34,NcBuncombeAsheville,Waste Management Of Asheville,(828) 210-1131,,24 Pond Rd,Asheville,NC,28806,35.5484105,-82.6026894,Buncombe,,,,,,,,,,,,,,
35,NcBuncombeAlexander,Buncombe County C&D MSW,(828) 250-5460,,81 Panther Branch Road,Alexander,NC,28701,35.7288362,-82.6360443,Buncombe,,,,,,,,,,,,,,
36,NcBuncombeAsheville1,Buncombe County Transfer Station,(828) 250-5460,,190 Hominy Creek Road,Asheville,NC,28806,35.5570841,-82.5940327,Buncombe,,,,,,,,,,,,,,
37,NcBuncombeAsheville2,Hensons' Inc. Mulch & More Asheville,(828) 859-5836,,116 Pond Rd.,Asheville,NC,28806,35.5443443,-82.6058887,Buncombe,,,,,,,,,,,,,,
38,NcBuncombeAsheville3,Riverside Stump Dump at Asheville,(828) 258-7339,,620 Riverside Drive,Asheville,NC,28801,35.607191,-82.5777205,Buncombe,,,,,,,,,,,,,,
39,NcBuncombeAsheville4,Handle Safe Systems Transfer Facility,(828) 273-9544,,432 Old Leicester Hwy,Asheville,NC,28806,35.6320232,-82.6197396,Buncombe,,,,,,,,,,,,,,
40,NcBuncombeSwannanoa,Warren Wilson College,(828) 771-2014,,701 Warren Wilson Road,Swannanoa,NC,28778,35.6114087,-82.4414224,Buncombe,,,,,,,,,,,,,,
41,NcBuncombeAsheville5,"Danny's Dumpster, Inc.",(828) 380-9094,,120 Hardesty Lane,Asheville,NC,28805,35.5733998,-82.4869823,Buncombe,,,,,,,,,,,,,,
42,NcBuncombeArden,Duke Energy Progress - Asheville,(980) 373-6636,,46 Duke Energy Lane,Arden,NC,28704,35.4670682,-82.5417719,Buncombe,,,,,,,,,,,,,,
43,NcBurkeMorganton,Burke County Johns River Waste Management,(828) 764-9064,,2500 Marsh Trail,Morganton,NC,28655,35.78525,-81.645287,Burke,,,,,,,,,,,,,,
44,NcCabarrusConcord1,Cabarrus County CDLF TypeI,(704) 920-3209,,4441 Irish Potato Rd,Concord,NC,28083,35.476934,-80.5176239,Cabarrus,,,,,,,,,,,,,,
45,NcCabarrusConcord2,US Tire Recycling Partners LP,(704) 784-1210,,6322 Poplar Tent Rd,Concord,NC,28027,35.4072133,-80.6785413,Cabarrus,,,,,,,,,,,,,,
46,NcCabarrusConcord3,BFI-Charlotte Mtr Speedway Landfill V,(704) 712-8560,,5105 Morehead Rd,Concord,NC,28027,35.345295,-80.68204,Cabarrus,,,,,,,,,,,,,,
47,NcCabarrusConcord4,Stericycle,(803) 730-1876,,4403 Republic Court,Concord,NC,28027,35.4185644,-80.6516599,Cabarrus,,,,,,,,,,,,,,
48,NcCabarrusConcord5,Highway 49 C&D Landfill & Recycling Greenway Waste,(704) 201-5944,,2105 Speedrail Rd,Concord,NC,28025,35.3378513,-80.6145468,Cabarrus,,,,,,,,,,,,,,
49,NcCabarrusharrisburg,"Tarheel Bark Company - A Division of Garick, LLC",(704) 456-8269,,8829 rocky river rd,harrisburg,NC,28075,35.291357,-80.637154,Cabarrus,,,,,,,,,,,,,,
50,NcCabarrusConcord6,Cabarrus County HHW Collection Facility,(704) 920-3209,,246 General Services Drive SW,Concord,NC,28025,35.372947,-80.5637849,Cabarrus,,,,,,,,,,,,,,
51,NcCabarrusConcord7,US Tire Recycling Partners LP,(704) 784-1210,,6322 Poplar Tent Rd,Concord,NC,28027,35.4072133,-80.6785413,Cabarrus,,,,,,,,,,,,,,
52,NcCabarrusConcord8,Morehead LCID Landfill,(704) 361-1218,,5001 Morehead Road,Concord,NC,28027,35.345045,-80.682207,Cabarrus,,,,,,,,,,,,,,
53,NcCaldwellLenoir,Foothills Environmental Landfill,(828) 394-3133,,2800 CHERAW RD,Lenoir,NC,28645,35.9153189,-81.5952409,Caldwell,,,,,,,,,,,,,,
54,NcCarteretNewport1,CRSWMA-Carteret County Transfer Station,(252) 633-1564,,800 Hibbs Road,Newport,NC,28570,34.7553005,-76.8757432,Carteret,,,,,,,,,,,,,,
55,NcCatawbaNewton2,Blackburn Resource Recovery,(704) 462-1348,,3993 Rocky Ford Road,Newton,NC,28658,35.6080013,-81.3116376,Catawba,,,,,,,,,,,,,,
56,NcCatawbaConover,GDS Recycling Services,(828) 419-3031,,130 SOMERSET DRIVE NW,Conover,NC,28601,35.7240938,-81.2509051,Catawba,,,,,,,,,,,,,,
57,NcCatawbaHickory1,"Hickory, City of Compost Facility",(828) 323-7439,,909 Cloninger Mill Rd,Hickory,NC,28602,35.7866662,-81.3009351,Catawba,,,,,,,,,,,,,,
58,NcCatawbaHickory2,"Hickory, City of Transfer Station",(828) 323-7439,,1050 1st Ave SW,Hickory,NC,28602,35.731086,-81.355782,Catawba,,,,,,,,,,,,,,
59,NcCatawbaTerrell,Duke Energy Carolinas-Marshall FGD,(980) 373-5697,,8320 East Highway 150,Terrell,NC,28673,35.5936415,-80.9658466,Catawba,,,,,,,,,,,,,,
60,NcChathamSilerCity,Waste Man. - Chatham Co Transfer Station,(919) 405-1497,,361 Waste Treatment Plant Rd,Siler City,NC,27344,35.7304951,-79.4281475,Chatham,,,,,,,,,,,,,,
61,NcChathamPittsboro,Chatham Co HHW Collection Facility,(919) 545-7874,,39 County Services Road,Pittsboro,NC,27312,35.741919,-79.2630529,Chatham,,,,,,,,,,,,,,
62,NcChathamGoldston1,Dean Brooks Farm,(919) 842-6063,,1193 Beal Road,Goldston,NC,27252,35.5461623,-79.3689071,Chatham,,,,,,,,,,,,,,
63,NcChathamNewHill,McGill - Merry Oaks Compost Facility,(919) 770-4416,,634 Christian Chapel Church Road,New Hill,NC,27562,35.6347434,-79.0072662,Chatham,,,,,,,,,,,,,,
64,NcChathamChapelHill,Stone Landfill LCID,(919) 971-0918,,52 Rock Hill Drive,Chapel Hill,NC,27517,35.8017271,-79.0318173,Chatham,,,,,,,,,,,,,,
65,NcChathamMoncure,Brickhaven No. 2,(502) 709-3273,,1271 Moncure-Flatwood Road,Moncure,NC,27559,35.5945895,-79.0107507,Chatham,,,,,,,,,,,,,,
66,NcChathamGoldston2,Pinnacle Waste Goldson Facility,(919) 708-8465,,67 Gulf Rd.,Goldston,NC,27252,35.5634375,-79.2887263,Chatham,,,,,,,,,,,,,,
67,NcCherokeeMurphy,Cherokee County MSW Facility,(828) 837-2621,,75 Peachtree St,Murphy,NC,28906,35.086994,-84.032853,Cherokee,,,,,,,,,,,,,,
68,NcChowanEdenton1,"Edenton, Town of Transfer Station",(252) 482-4111,,118 W. Hicks St.,Edenton,NC,27932,36.0676994,-76.6082811,Chowan,,,,,,,,,,,,,,
69,NcChowanEdenton2,Good Earth Horticulture,(252) 482-8528,,2116 B Bio comp drive,"Edenton,",NC,27932,36.021208,-76.5535544,Chowan,,,,,,,,,,,,,,
70,NcClayHayesville,Clay County Transfer Station,(828) 389-9133,,1160 Hinton Center Rd.,Hayesville,NC,28904,35.030146,-83.7847929,Clay,,,,,,,,,,,,,,
71,NcClevelandShelby,Cleveland County CDLF,(704) 447-8204,,1607 AIRPORT RD,Shelby,NC,28150,35.3262915,-81.484203,Cleveland,,,,,,,,,,,,,,
72,NcClevelandCherryville,Cleveland County Landfill SeLF,(704) 447-8204,,250 FIELDING RD,Cherryville,NC,,35.3413366,-81.4681563,Cleveland,,,,,,,,,,,,,,
73,NcColumbusWhiteville1,Columbus County Landfill,(910) 234-1417,,107 Landfill Road,Whiteville,NC,28472,34.289712,-78.751679,Columbus,,,,,,,,,,,,,,
74,NcColumbusRiegelwood,International Paper,(910) 362-4934,,865 John L Riegel Road,Riegelwood,NC,28456,34.3536779,-78.2127818,Columbus,,,,,,,,,,,,,,
75,NcColumbusWhiteville2,Columbus County Transfer Station,(910) 234-1417,,107 Landfill Road,Whiteville,NC,28472,34.289712,-78.751679,Columbus,,,,,,,,,,,,,,
76,NcColumbusDelco,Big D T&P Facility,(843) 340-8815,,1535 Old 87 Road,Delco,NC,28436,34.3120933,-78.2074922,Columbus,,,,,,,,,,,,,,
77,NcCravenNewBern1,New Bern Yard Waste Facility,(252) 637-7310,,1803 Country Club Road,New Bern,NC,28562,35.0976386,-77.0614205,Craven,,,,,,,,,,,,,,
78,NcCravenNewBern2,CRSWMA - Long Term Regional Landfill,(252) 633-1564,,7400 Old Highway 70 West,New Bern,NC,28562,35.1634758,-77.227524,Craven,,,,,,,,,,,,,,
79,NcCravenMCASCherryPoint1,Cherry Point Transfer Station,(252) 466-5271,,100 Mockingbird Hill Bldg 4185,MCAS Cherry Point,NC,28532,34.883318,-76.9062,Craven,,,,,,,,,,,,,,
80,NcCravenVanceboro,Craven LCID Landfill,(252) 670-6749,,415 Streets Ferry Rd.,Vanceboro,NC,28586,35.2894156,-77.1526297,Craven,,,,,,,,,,,,,,
81,NcCravenNewBern3,Craven Ag Service Compost Facility,(252) 633-5334,,2115 Hwy 55 West,New Bern,NC,28562,35.1670215,-77.1620099,Craven,,,,,,,,,,,,,,
82,NcCravenMCASCherryPoint2,Cherry Point LCID,(252) 466-5271,,Environmental Affairs Department,MCAS Cherry Point,NC,28532,34.883318,-76.9062,Craven,,,,,,,,,,,,,,
83,NcCravenHavelock,Cieszko LCID,(252) 447-2096,,1090 NC Hwy 101,Havelock,NC,28532,34.876009,-76.85128,Craven,,,,,,,,,,,,,,
84,NcCumberlandFayetteville1,Cumberland County Landfill,(910) 438-4041,,698 Ann Street,Fayetteville,NC,28301,35.0623009,-78.8717368,Cumberland,,,,,,,,,,,,,,
85,NcCumberlandFortBragg,Fort Bragg Transfer Station,(910) 396-2295,,Building # O-3454,Fort Bragg,NC,28307,35.1414552,-79.0079949,Cumberland,,,,,,,,,,,,,,
86,NcCumberlandFayetteville2,Fort Bragg Transfer Station,(910) 237-2825,,583 Winslow Street,Fayetteville,NC,28306,35.0453178,-78.8892588,Cumberland,,,,,,,,,,,,,,
87,NcCumberlandFayetteville3,Wilkes Road Yard Waste Facility,(919) 438-4041,,771 Wilkes Road,Fayetteville,NC,28306,35.026288,-78.8707249,Cumberland,,,,,,,,,,,,,,
88,NcCumberlandFayetteville4,Highland LCID Landfill,(910) 978-2412,,6020 Murchison Rd.,Fayetteville,NC,28311,35.1186153,-78.9329598,Cumberland,,,,,,,,,,,,,,
89,NcCumberlandFayetteville5,AAA Hauling Of NC Inc,(910) 321-6037,,1171 S Eastern Blvd,Fayetteville,NC,28306,35.0275171,-78.8842181,Cumberland,,,,,,,,,,,,,,
90,NcCumberlandFayetteville6,Cumberland Co HHW Collection Facility,(910) 438-4041,,823 Wilkes Road,Fayetteville,NC,28306,35.0245212,-78.8718357,Cumberland,,,,,,,,,,,,,,
91,NcCumberlandFayetteville7,Doc Bennett LCID Landfill,(910) 978-2412,,Sandy Run Rd.,Fayetteville,NC,28306,34.9635184,-78.8623218,Cumberland,,,,,,,,,,,,,,
92,NcCumberlandFayetteville8,Snow Hill LCID Landfill,(910) 630-2200,,Claude Lee Road,Fayetteville,NC,28306,34.9825609,-78.8903256,Cumberland,,,,,,,,,,,,,,
93,NcCumberlandHopeMills,"Autry Grading, Inc., LCID Landfill",(910) 424-3458,,5124 US Hwy 301 S,Hope Mills,NC,28348,34.9484317,-78.9294756,Cumberland,,,,,,,,,,,,,,
94,NcCurrituckCurrituck,Currituck Transfer Station,(252) 232-2504,,153 Courthouse Road Suite 302,Currituck,NC,27929,36.4499012,-76.01632,Currituck,,,,,,,,,,,,,,
95,NcCurrituckJarvisburg,Soundside C&D Waste Transfer & Recycling Center,(252) 491-8666,,7565 Caratoke Hwy,Jarvisburg,NC,27947,36.1690518,-75.8597272,Currituck,,,,,,,,,,,,,,
96,NcCurrituckPowellsPoint,"Bay Disposal, LLC",(757) 355-1591,,8546 Caratoke Hwy,Powells Point,NC,27966,36.1098373,-75.8251826,Currituck,,,,,,,,,,,,,,
97,NcDareMannsHarbor,Dare County C&D and Transfer Station,(252) 473-2059,,1603 Cub Rd,Manns Harbor,NC,27953,35.8312955,-75.8181771,Dare,,,,,,,,,,,,,,
98,NcDavidsonLexington1,Davidson County HHW,(336) 240-0303,,220 Davidson County Landfill Road,Lexington,NC,27360,35.8371961,-80.1710635,Davidson,,,,,,,,,,,,,,
99,NcDavidsonThomasville1,Davidson County MSW Lined Landfill,(336) 240-0303,,1160 Old Hwy 29,Thomasville,NC,27360,35.8527991,-80.1777633,Davidson,,,,,,,,,,,,,,
100,NcDavidsonThomasville2,Davidson County Transfer Facility,(336) 240-0303,,1242 Old Highway 29,Thomasville,NC,27360,35.852307,-80.176552,Davidson,,,,,,,,,,,,,,
101,NcDavidsonLexington2,"Todco, Inc. Wood Recycling and C&D",(336) 248-2001,,1123 Roy Lopp Rd,Lexington,NC,27292,35.830315,-80.1747182,Davidson,,,,,,,,,,,,,,
102,NcDavidsonWinstonSalem,"Veach Landfill, L.L.C.",(336) 462-3643,,4261 Old Thomasville Rd,Winston Salem,NC,27107,35.979548,-80.189527,Davidson,,,,,,,,,,,,,,
103,NcDavieAdvance,Davie County Compost Facility,(704) 875-2975,,221 Wallace Fam Lane,Advance,NC,28213,35.9791135,-80.5026131,Davie,,,,,,,,,,,,,,
104,NcDavieMocksville,Gallins Family Farm,(336) 448-9494,,222 Rocky Dale Lane,Mocksville,NC,27028,35.973268,-80.53904,Davie,,,,,,,,,,,,,,
105,NcDuplinRoseHill1,Duplin County Transfer Station,(910) 289-3091,,325 Landfill Road,Rose Hill,NC,28458,34.8595511,-77.9799856,Duplin,,,,,,,,,,,,,,
106,NcDuplinRoseHill2,Duplin County LCID Landfill,(910) 289-3091,,325 Landfill Road,Rose Hill,NC,28458,34.8595511,-77.9799856,Duplin,,,,,,,,,,,,,,
107,NcDurhamDurham1,"Durham Compost Facility, HHW, Transfer Station",(919) 560-4186,,2115 E. Club Blvd,Durham,NC,27704,36.0263287,-78.857219,Durham,,,,,,,,,,,,,,
108,NcDurhamDurham2,Stone Park Court Transfer Station,(919) 596-1363,,210 Stone Park Ct.,Durham,NC,27703,35.9502491,-78.8558033,Durham,,,,,,,,,,,,,,
109,NcDurhamDurham3,"New Soil Vermiculture, LLC",(202) 374-0403,,314 Latta Road,Durham,NC,27712,36.0777532,-78.9198985,Durham,,,,,,,,,,,,,,
110,NcDurhamDurham4,Elite Waste Services Holman MWP Facility,(321) 441-5977,,201 S. Holman St.,Durham,NC,27701,35.9857136,-78.8875302,Durham,,,,,,,,,,,,,,
111,NcDurhamDurham5,Fogleman and Fogleman Landfill & Recycling Facility,(919) 682-0068,,4005 Intermere Road,Durham,NC,27704,36.0494419,-78.8129047,Durham,,,,,,,,,,,,,,
112,NcDurhamDurham6,Currin Landfill #2,(919) 876-1138,,1810 Coley Road,Durham,NC,27703,35.968941,-78.74203,Durham,,,,,,,,,,,,,,
113,NcDurhamDurham7,Waste Industries- Stone Park Ct. LCID LF,(919) 557-9583,,208 Stone Park Ct,Durham,NC,27703,35.9502491,-78.8558033,Durham,,,,,,,,,,,,,,
114,NcEdgecombeTarboro1,Edgecombe County CDLF,(258) 827-4253,,2872 Colonial Road,Tarboro,NC,27886,35.8221102,-77.5632476,Edgecombe,,,,,,,,,,,,,,
115,NcEdgecombeTarboro2,Edgecombe County Transfer Station,(252) 827-4253,,2872 Colonial Rd,Tarboro,NC,27886,35.8221102,-77.5632476,Edgecombe,,,,,,,,,,,,,,
116,NcEdgecombeBattleboro,"Eastern Compost, LLC",(252) 446-2536,,8487 Battleboro-Leggett Road,Battleboro,NC,27809,36.0391033,-77.7414314,Edgecombe,,,,,,,,,,,,,,
117,NcEdgecombeRockyMount1,Barnhill Contracting LCID Landfill,(252) 904-3358,,10826 NC 97,Rocky Mount,NC,27801,35.9781158,-77.7492608,Edgecombe,,,,,,,,,,,,,,
118,NcEdgecombeRockyMount2,"Rocky Mount , City of LCID Landfill",(252) 467-4909,,3873 Old Battleboro Road,Rocky Mount,NC,27809,35.9989519,-77.7535141,Edgecombe,,,,,,,,,,,,,,
119,NcForsythWinston-Salem1,Hanes Mill Road Landfill,(336) 747-7310,,325 West Hanes Mill Road,Winston-Salem,NC,27105,36.188006,-80.2824369,Forsyth,,,,,,,,,,,,,,
120,NcForsythWinston-Salem2,Overdale Yard Waste Facility,(336) 747-7310,,4010 Old Milwaukee Lane,Winston-Salem,NC,27107,36.0381357,-80.2239756,Forsyth,,,,,,,,,,,,,,
121,NcForsythWinston-Salem3,"Winston-Salem, City of Old Salisbury Road CDLF",(336) 747-7310,,3336 Old Salisbury Road,Winston-Salem,NC,27127,35.997859,-80.27012,Forsyth,,,,,,,,,,,,,,
122,NcForsythWinston-Salem4,"Resource Recovery And Reduction, Co.",(336) 784-4300,,"1401 S. MLK, Jr. Drive",Winston-Salem,NC,27107,36.0803749,-80.2198714,Forsyth,,,,,,,,,,,,,,
123,NcForsythWinston-Salem5,Overdale Road Transfer Station,(336) 714-4301,,5000 Overdale Road,Winston-Salem,NC,27107,36.0332214,-80.232095,Forsyth,,,,,,,,,,,,,,
124,NcForsythWINSTONSALEM,"Lowder Recycling And Disposal, LLC",(336) 760-0477,,2810 GRIFFITH RD,WINSTON SALEM,NC,27103,36.0375446,-80.3133424,Forsyth,,,,,,,,,,,,,,
125,NcForsythSmithfield,OmniSource Southeast,(919) 796-3023,,2233 Wal-Pat Rd,Smithfield,NC,27577,35.481267,-78.365974,Forsyth,,,,,,,,,,,,,,
126,NcForsythWinstonSalem6,Dixie Classic Fairgrounds,(336) 409-4881,,421 west 27th street,Winston Salem,NC,27107,36.1279412,-80.2538132,Forsyth,,,,,,,,,,,,,,
127,NcForsythWinstonSalem7,Slater Industries Treatment and Processing Facility,(336) 416-6097,,945 Valley Stream Road,Winston-Salem,NC,27104,36.0822807,-80.3674935,Forsyth,,,,,,,,,,,,,,
128,NcForsythRuralHall,"Winston-Salem, City of Compost",(336) 747-7310,,180 North Star Drive,Rural Hall,NC,27045,36.206981,-80.288712,Forsyth,,,,,,,,,,,,,,
129,NcForsythWinstonSalem8,"Abbey Green, Inc",(336) 207-6052,,5030 Overdale Rd.,Winston Salem,NC,27107,36.0323363,-80.2341656,Forsyth,,,,,,,,,,,,,,
130,NcForsythWinstonSalem9,"Winston-Salem, City of Treatment & Processing Site",(336) 734-1490,,3 W. 32nd Street,Winston-Salem,NC,27105,36.132394,-80.2450046,Forsyth,,,,,,,,,,,,,,
131,NcForsythKernersville1,Piney Hill Acres Large Type 1 Compost Unit,(336) 682-2317,,2020 Piney Grove Rd.,Kernersville,NC,27284,36.1734517,-80.0590095,Forsyth,,,,,,,,,,,,,,
132,NcForsythKernersville2,Piney Hill Acres LCID Landfill,(336) 682-2317,,2020 Piney Grove Rd.,Kernersville,NC,27284,36.1734517,-80.0590095,Forsyth,,,,,,,,,,,,,,
133,NcFranklinFranklinton3,Franklin County Transfer Station,(919) 340-4670,,32 Landfill Road,Franklinton,NC,27525,36.0556753,-78.376391,Franklin,,,,,,,,,,,,,,
134,NcFranklinFranklinton4,Wall Recycling,(919) 906-2747,,2095 US-1,Franklinton,NC,27525,36.066874,-78.486555,Franklin,,,,,,,,,,,,,,
135,NcFranklinFranklinton5,Wall Recycling,(919) 906-2747,,2095 US-1,Franklinton,NC,27525,36.066874,-78.486555,Franklin,,,,,,,,,,,,,,
136,NcFranklinFranklinton6,Wall Recycling,(919) 906-2747,,2095 US-1,Franklinton,NC,27525,36.066874,-78.486555,Franklin,,,,,,,,,,,,,,
137,NcFranklinZebulon,David Brantley & Sons Compost Facility,(978) 209-2966,,154 Green House Dr,Zebulon,NC,27597,35.9263095,-78.2561801,Franklin,,,,,,,,,,,,,,
